"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Woodman Point ","Rockingham, Fremantle","Australia","","115.7433","Plenty of room to rig on several beaches facing 3 directions. Very sharp shells all over the beach so watch out when rigging up.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au156","[{:month=>1, :stat=>11}, {:month=>2, :stat=>14}, {:month=>3, :stat=>14}, {:month=>4, :stat=>5}, {:month=>5, :stat=>7}, {:month=>6, :stat=>11}, {:month=>7, :stat=>9}, {:month=>8, :stat=>10}, {:month=>9, :stat=>9}, {:month=>10, :stat=>20}, {:month=>11, :stat=>13}, {:month=>12, :stat=>15}]"
"true","Swan River ","Perth","Australia","","115.786","Small beach and rigging area. Beware of rocks closer to the jetty.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au76","[{:month=>1, :stat=>58}, {:month=>2, :stat=>56}, {:month=>3, :stat=>51}, {:month=>4, :stat=>30}, {:month=>5, :stat=>21}, {:month=>6, :stat=>29}, {:month=>7, :stat=>32}, {:month=>8, :stat=>27}, {:month=>9, :stat=>44}, {:month=>10, :stat=>53}, {:month=>11, :stat=>60}, {:month=>12, :stat=>61}]"
"true","Wellington Point ","Wellington","Australia","","153.24","Sandy/rocky beach. Grass area, but the council does not like launching kites from it and does not allow it. You can launch on the sandbar.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au21","[{:month=>1, :stat=>41}, {:month=>2, :stat=>35}, {:month=>3, :stat=>30}, {:month=>4, :stat=>19}, {:month=>5, :stat=>15}, {:month=>6, :stat=>19}, {:month=>7, :stat=>18}, {:month=>8, :stat=>25}, {:month=>9, :stat=>38}, {:month=>10, :stat=>46}, {:month=>11, :stat=>47}, {:month=>12, :stat=>48}]"
"true","Jumpinpin ","Gold Coast","Australia","","153.4447","Sandy beach with lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au44","[{:month=>1, :stat=>64}, {:month=>2, :stat=>68}, {:month=>3, :stat=>61}, {:month=>4, :stat=>55}, {:month=>5, :stat=>41}, {:month=>6, :stat=>39}, {:month=>7, :stat=>34}, {:month=>8, :stat=>40}, {:month=>9, :stat=>50}, {:month=>10, :stat=>57}, {:month=>11, :stat=>56}, {:month=>12, :stat=>59}]"
"true","Dolls Point ","Sydney","Australia","","151.1482","The beach is terrible north of the rock groyne - narrow at best. Do not launch north of the rock groyne, lots of bathers during summer, power lines right next to the narrow beach, rock walls. Packed on weekends, mid week is great. South of the groyne is much better but beware of a wind shadow in Northeasterlies near the jetty.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au84","[{:month=>1, :stat=>65}, {:month=>2, :stat=>60}, {:month=>3, :stat=>56}, {:month=>4, :stat=>48}, {:month=>5, :stat=>42}, {:month=>6, :stat=>49}, {:month=>7, :stat=>43}, {:month=>8, :stat=>51}, {:month=>9, :stat=>55}, {:month=>10, :stat=>54}, {:month=>11, :stat=>60}, {:month=>12, :stat=>62}]"
"true","Whitsunday Island ","Hamilton, Whitsunday Island","Australia","","149.0252","Whitehaven Beach is one of Australia's most pristine beaches, with something like 98% white silica sand. The Whitehaven beach is in the list of top ten international beaches because its really beautiful place in Australia. At the northern end of Whitehaven Beach is the gateway Hill, a beautiful entrance, where the tide moves the sand and water to create a fusion of attractive colors. Many people claim Hill inlet and Whitehaven Beach are the most beautiful places you have never seen.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au27","[{:month=>1, :stat=>75}, {:month=>2, :stat=>78}, {:month=>3, :stat=>84}, {:month=>4, :stat=>83}, {:month=>5, :stat=>82}, {:month=>6, :stat=>79}, {:month=>7, :stat=>76}, {:month=>8, :stat=>67}, {:month=>9, :stat=>71}, {:month=>10, :stat=>82}, {:month=>11, :stat=>78}, {:month=>12, :stat=>76}]"
"true","Port Phillip Bay ","Hampton","Australia","","144.9965","Nice and wide beach with no hard objects. Plenty of space to launch as long as you stay away from the beach goers by the life saving club. The beach faces WSW.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au121","[{:month=>1, :stat=>1}, {:month=>2, :stat=>1}, {:month=>3, :stat=>1}, {:month=>4, :stat=>1}, {:month=>5, :stat=>1}, {:month=>6, :stat=>1}, {:month=>7, :stat=>2}, {:month=>8, :stat=>2}, {:month=>9, :stat=>2}, {:month=>10, :stat=>2}, {:month=>11, :stat=>1}, {:month=>12, :stat=>1}]"
"true","Anderson Inlet ","Inverloch","Australia","","145.7227","The inlet is surrounded by scrub, however there is a perfect launch next to the fishing club, just a minute east of the Inveloch township. There is a car park, a grass area for setting up, and a wide beach for easy launching. As it is such an ideal spot for beginners there are two local shops running kite clinics at this beach, so watch for falling kites! It is possible to launch in the inlet (to the west of Inverloch) and kite out to the ocean and back.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au112","[{:month=>1, :stat=>42}, {:month=>2, :stat=>44}, {:month=>3, :stat=>35}, {:month=>4, :stat=>28}, {:month=>5, :stat=>31}, {:month=>6, :stat=>25}, {:month=>7, :stat=>31}, {:month=>8, :stat=>36}, {:month=>9, :stat=>36}, {:month=>10, :stat=>42}, {:month=>11, :stat=>40}, {:month=>12, :stat=>43}]"
"true","Gnaraloo Airstrip ","Gnaraloo","Australia","","113.5274","Sandy beach with occasional rocks. Small beach for launching.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au3","[{:month=>1, :stat=>88}, {:month=>2, :stat=>85}, {:month=>3, :stat=>81}, {:month=>4, :stat=>65}, {:month=>5, :stat=>46}, {:month=>6, :stat=>40}, {:month=>7, :stat=>41}, {:month=>8, :stat=>54}, {:month=>9, :stat=>77}, {:month=>10, :stat=>86}, {:month=>11, :stat=>88}, {:month=>12, :stat=>90}]"
"true","Mullaloo Beach ","Mullaloo","Australia","","115.7332","Long Beach. Not too wide though. Lots of swimmers in summer.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=au77","[{:month=>1, :stat=>70}, {:month=>2, :stat=>66}, {:month=>3, :stat=>61}, {:month=>4, :stat=>44}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>47}, {:month=>8, :stat=>44}, {:month=>9, :stat=>58}, {:month=>10, :stat=>62}, {:month=>11, :stat=>70}, {:month=>12, :stat=>73}]"
