"true","La Croix ","Trinite, Tartane","Martinique","14.7583","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=mq2","[{:month=>1, :stat=>84}, {:month=>2, :stat=>84}, {:month=>3, :stat=>78}, {:month=>4, :stat=>79}, {:month=>5, :stat=>82}, {:month=>6, :stat=>89}, {:month=>7, :stat=>83}, {:month=>8, :stat=>64}, {:month=>9, :stat=>47}, {:month=>10, :stat=>58}, {:month=>11, :stat=>72}, {:month=>12, :stat=>81}]"
"true","St","Orient Bay","Netherlands Antilles","18.0883","","Beach is sandy and quite narrow, so some launching experience is needed. It is crowded as well. But the guys from the kiteschool are very friendly and willing to help. It is white sand and about 50m and many kilometers long. Many kiters prefer to set up in the grassy lot (which doubles as a parking lot) next to the windsurfing school.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an3","[{:month=>1, :stat=>44}, {:month=>2, :stat=>39}, {:month=>3, :stat=>37}, {:month=>4, :stat=>32}, {:month=>5, :stat=>29}, {:month=>6, :stat=>37}, {:month=>7, :stat=>47}, {:month=>8, :stat=>36}, {:month=>9, :stat=>19}, {:month=>10, :stat=>20}, {:month=>11, :stat=>24}, {:month=>12, :stat=>44}]"
"true","Bonaire ","Kralendijk","Netherlands Antilles","12.0662","","The beach is sandy, but to get in the water, you have to walk over some stones. Some grassy areas on the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an1","[{:month=>1, :stat=>81}, {:month=>2, :stat=>85}, {:month=>3, :stat=>89}, {:month=>4, :stat=>87}, {:month=>5, :stat=>90}, {:month=>6, :stat=>95}, {:month=>7, :stat=>92}, {:month=>8, :stat=>82}, {:month=>9, :stat=>75}, {:month=>10, :stat=>58}, {:month=>11, :stat=>56}, {:month=>12, :stat=>73}]"
"true","Curacao ","Willemstad","Netherlands Antilles","12.1269","","Not so great beach but perfect to launch and ride. Sand with some coral stones. With NE winds launch in water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an2","[{:month=>1, :stat=>65}, {:month=>2, :stat=>76}, {:month=>3, :stat=>75}, {:month=>4, :stat=>72}, {:month=>5, :stat=>78}, {:month=>6, :stat=>86}, {:month=>7, :stat=>77}, {:month=>8, :stat=>70}, {:month=>9, :stat=>62}, {:month=>10, :stat=>46}, {:month=>11, :stat=>40}, {:month=>12, :stat=>61}]"
"true","Bonaire ","Kralendijk","Netherlands Antilles","12.0823","","Sandy beach. Little rocks to walk over to get into the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an1","[{:month=>1, :stat=>81}, {:month=>2, :stat=>85}, {:month=>3, :stat=>89}, {:month=>4, :stat=>87}, {:month=>5, :stat=>90}, {:month=>6, :stat=>95}, {:month=>7, :stat=>92}, {:month=>8, :stat=>82}, {:month=>9, :stat=>75}, {:month=>10, :stat=>58}, {:month=>11, :stat=>56}, {:month=>12, :stat=>73}]"
"true","Klein Curacao ","Caracasbay","Netherlands Antilles","11.9902","","Sandy beach with lots of pieces of broken coral. Plenty of space to launch however tourist boats do limit space of entering the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an2","[{:month=>1, :stat=>65}, {:month=>2, :stat=>76}, {:month=>3, :stat=>75}, {:month=>4, :stat=>72}, {:month=>5, :stat=>78}, {:month=>6, :stat=>86}, {:month=>7, :stat=>77}, {:month=>8, :stat=>70}, {:month=>9, :stat=>62}, {:month=>10, :stat=>46}, {:month=>11, :stat=>40}, {:month=>12, :stat=>61}]"
"true","Bonaire ","Rincon, Leeuwarden","Netherlands Antilles","12.2491","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an1","[{:month=>1, :stat=>81}, {:month=>2, :stat=>85}, {:month=>3, :stat=>89}, {:month=>4, :stat=>87}, {:month=>5, :stat=>90}, {:month=>6, :stat=>95}, {:month=>7, :stat=>92}, {:month=>8, :stat=>82}, {:month=>9, :stat=>75}, {:month=>10, :stat=>58}, {:month=>11, :stat=>56}, {:month=>12, :stat=>73}]"
"true","Bonaire ","Klein Bonaire","Netherlands Antilles","12.1683","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an1","[{:month=>1, :stat=>81}, {:month=>2, :stat=>85}, {:month=>3, :stat=>89}, {:month=>4, :stat=>87}, {:month=>5, :stat=>90}, {:month=>6, :stat=>95}, {:month=>7, :stat=>92}, {:month=>8, :stat=>82}, {:month=>9, :stat=>75}, {:month=>10, :stat=>58}, {:month=>11, :stat=>56}, {:month=>12, :stat=>73}]"
"true","Bonaire ","Sorobon","Netherlands Antilles","12.1027","","Entrance to the water with lots of rocks.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an1","[{:month=>1, :stat=>81}, {:month=>2, :stat=>85}, {:month=>3, :stat=>89}, {:month=>4, :stat=>87}, {:month=>5, :stat=>90}, {:month=>6, :stat=>95}, {:month=>7, :stat=>92}, {:month=>8, :stat=>82}, {:month=>9, :stat=>75}, {:month=>10, :stat=>58}, {:month=>11, :stat=>56}, {:month=>12, :stat=>73}]"
"true","Curacao ","Round Hill","Netherlands Antilles","12.1749","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an2","[{:month=>1, :stat=>65}, {:month=>2, :stat=>76}, {:month=>3, :stat=>75}, {:month=>4, :stat=>72}, {:month=>5, :stat=>78}, {:month=>6, :stat=>86}, {:month=>7, :stat=>77}, {:month=>8, :stat=>70}, {:month=>9, :stat=>62}, {:month=>10, :stat=>46}, {:month=>11, :stat=>40}, {:month=>12, :stat=>61}]"
"true","Bonaire ","Belnem","Netherlands Antilles","12.026","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=an1","[{:month=>1, :stat=>81}, {:month=>2, :stat=>85}, {:month=>3, :stat=>89}, {:month=>4, :stat=>87}, {:month=>5, :stat=>90}, {:month=>6, :stat=>95}, {:month=>7, :stat=>92}, {:month=>8, :stat=>82}, {:month=>9, :stat=>75}, {:month=>10, :stat=>58}, {:month=>11, :stat=>56}, {:month=>12, :stat=>73}]"
"true","Ocean Park ","San Juan","Puerto Rico","18.4547","","Clean, sandy beach with waves depending on swell direction. Lots of space, but be aware of sunbathers and swimmers, specially during weekends. Beginners need to go with assistance, and follow the rules.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr2","[{:month=>1, :stat=>40}, {:month=>2, :stat=>42}, {:month=>3, :stat=>45}, {:month=>4, :stat=>42}, {:month=>5, :stat=>38}, {:month=>6, :stat=>47}, {:month=>7, :stat=>52}, {:month=>8, :stat=>45}, {:month=>9, :stat=>32}, {:month=>10, :stat=>26}, {:month=>11, :stat=>29}, {:month=>12, :stat=>41}]"
