"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Ambergris Caye ","San Pedro","Belize","17.9205","","Small tight launches in town. More open north of town. Sandy beaches. Sandy beach and islands on the west side of the island.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=bz1","[{:month=>1, :stat=>10}, {:month=>2, :stat=>13}, {:month=>3, :stat=>20}, {:month=>4, :stat=>21}, {:month=>5, :stat=>22}, {:month=>6, :stat=>18}, {:month=>7, :stat=>17}, {:month=>8, :stat=>10}, {:month=>9, :stat=>7}, {:month=>10, :stat=>8}, {:month=>11, :stat=>10}, {:month=>12, :stat=>7}]"
"true","Caye Caulker ","Belize City","Belize","17.7496","","Small, sandy beach on east side. The best place for riding is at the 'split'.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=bz1","[{:month=>1, :stat=>10}, {:month=>2, :stat=>13}, {:month=>3, :stat=>20}, {:month=>4, :stat=>21}, {:month=>5, :stat=>22}, {:month=>6, :stat=>18}, {:month=>7, :stat=>17}, {:month=>8, :stat=>10}, {:month=>9, :stat=>7}, {:month=>10, :stat=>8}, {:month=>11, :stat=>10}, {:month=>12, :stat=>7}]"
"true","Placencia Beach ","Placencia","Belize","16.5204","","Nice sandy beach. Clean sand. U-shaped beach perfect for any level. Good kite launching and landing area.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=gt2","[{:month=>1, :stat=>10}, {:month=>2, :stat=>10}, {:month=>3, :stat=>12}, {:month=>4, :stat=>8}, {:month=>5, :stat=>8}, {:month=>6, :stat=>6}, {:month=>7, :stat=>10}, {:month=>8, :stat=>6}, {:month=>9, :stat=>4}, {:month=>10, :stat=>6}, {:month=>11, :stat=>7}, {:month=>12, :stat=>6}]"
"false","Caye Chapel ","","Belize","17.6962","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=bz1","[{:month=>1, :stat=>10}, {:month=>2, :stat=>13}, {:month=>3, :stat=>20}, {:month=>4, :stat=>21}, {:month=>5, :stat=>22}, {:month=>6, :stat=>18}, {:month=>7, :stat=>17}, {:month=>8, :stat=>10}, {:month=>9, :stat=>7}, {:month=>10, :stat=>8}, {:month=>11, :stat=>10}, {:month=>12, :stat=>7}]"
"true","Half Moon Caye ","Half Moon Caye","Belize","17.2056","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=bz1","[{:month=>1, :stat=>10}, {:month=>2, :stat=>13}, {:month=>3, :stat=>20}, {:month=>4, :stat=>21}, {:month=>5, :stat=>22}, {:month=>6, :stat=>18}, {:month=>7, :stat=>17}, {:month=>8, :stat=>10}, {:month=>9, :stat=>7}, {:month=>10, :stat=>8}, {:month=>11, :stat=>10}, {:month=>12, :stat=>7}]"
"true","Bahia Salinas ","La Cruz","Costa Rica","11.028","","The beach is about 1.5 km long. It is enough space to launch and land the kites. No people except a few kitesurfers uses the beach. It is sandy but there are sharp stones and shells, so water shoes are suggested. The stones can be very slippery. The beach is pretty narrow at high tide.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=cr1","[{:month=>1, :stat=>64}, {:month=>2, :stat=>65}, {:month=>3, :stat=>64}, {:month=>4, :stat=>44}, {:month=>5, :stat=>22}, {:month=>6, :stat=>13}, {:month=>7, :stat=>21}, {:month=>8, :stat=>16}, {:month=>9, :stat=>7}, {:month=>10, :stat=>5}, {:month=>11, :stat=>14}, {:month=>12, :stat=>38}]"
"true","Playa Hermosa ","Panama, Iguanita","Costa Rica","10.5755","","Long, sandy beach. Wide with lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=cr1","[{:month=>1, :stat=>64}, {:month=>2, :stat=>65}, {:month=>3, :stat=>64}, {:month=>4, :stat=>44}, {:month=>5, :stat=>22}, {:month=>6, :stat=>13}, {:month=>7, :stat=>21}, {:month=>8, :stat=>16}, {:month=>9, :stat=>7}, {:month=>10, :stat=>5}, {:month=>11, :stat=>14}, {:month=>12, :stat=>38}]"
"true","Bahia Salinas ","La Cruz","Costa Rica","11.0291","","The beach is 1km long and 50m wide. Lots of space for safe launch.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=cr1","[{:month=>1, :stat=>64}, {:month=>2, :stat=>65}, {:month=>3, :stat=>64}, {:month=>4, :stat=>44}, {:month=>5, :stat=>22}, {:month=>6, :stat=>13}, {:month=>7, :stat=>21}, {:month=>8, :stat=>16}, {:month=>9, :stat=>7}, {:month=>10, :stat=>5}, {:month=>11, :stat=>14}, {:month=>12, :stat=>38}]"
"true","Lake Arenal ","Tilaran, Canas","Costa Rica","10.5165","","Small launching area. Rigging on grass.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=cr2","[{:month=>1, :stat=>56}, {:month=>2, :stat=>26}, {:month=>3, :stat=>41}, {:month=>4, :stat=>50}, {:month=>5, :stat=>32}, {:month=>6, :stat=>25}, {:month=>7, :stat=>18}, {:month=>8, :stat=>25}, {:month=>9, :stat=>35}, {:month=>10, :stat=>28}, {:month=>11, :stat=>24}, {:month=>12, :stat=>36}]"
"true","Bahia Culebra ","Sardinal, Panama","Costa Rica","10.5904","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=cr1","[{:month=>1, :stat=>64}, {:month=>2, :stat=>65}, {:month=>3, :stat=>64}, {:month=>4, :stat=>44}, {:month=>5, :stat=>22}, {:month=>6, :stat=>13}, {:month=>7, :stat=>21}, {:month=>8, :stat=>16}, {:month=>9, :stat=>7}, {:month=>10, :stat=>5}, {:month=>11, :stat=>14}, {:month=>12, :stat=>38}]"
