"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Larkollen ","Moss, Larkollen","Norway","59.3059","10.6901","Mostly sand, some rocks to the west. Some shells. Can be rather crowded on good days. You can land your kite behind some trees.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no20","[{:month=>1, :stat=>19}, {:month=>2, :stat=>18}, {:month=>3, :stat=>22}, {:month=>4, :stat=>26}, {:month=>5, :stat=>27}, {:month=>6, :stat=>26}, {:month=>7, :stat=>24}, {:month=>8, :stat=>20}, {:month=>9, :stat=>24}, {:month=>10, :stat=>20}, {:month=>11, :stat=>21}, {:month=>12, :stat=>22}]"
"true","Borestrand ","Bore","Norway","58.8012","5.5481","Beautiful, soft sand. Lots of space for safe launch and landings. Behind the beach there are sand-dunes with grass.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no9","[{:month=>1, :stat=>44}, {:month=>2, :stat=>40}, {:month=>3, :stat=>42}, {:month=>4, :stat=>44}, {:month=>5, :stat=>48}, {:month=>6, :stat=>42}, {:month=>7, :stat=>39}, {:month=>8, :stat=>39}, {:month=>9, :stat=>40}, {:month=>10, :stat=>39}, {:month=>11, :stat=>40}, {:month=>12, :stat=>39}]"
"true","Sande ","Sande","Norway","59.021","5.5923","Thin sandy beach. Enough space to launch.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no43","[{:month=>1, :stat=>7}, {:month=>2, :stat=>6}, {:month=>3, :stat=>6}, {:month=>4, :stat=>4}, {:month=>5, :stat=>7}, {:month=>6, :stat=>5}, {:month=>7, :stat=>3}, {:month=>8, :stat=>5}, {:month=>9, :stat=>5}, {:month=>10, :stat=>9}, {:month=>11, :stat=>7}, {:month=>12, :stat=>9}]"
"false","Verket ","Drammen, Svelvik, Verket","Norway","59.6099","10.4147","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no42","[{:month=>1, :stat=>0}, {:month=>2, :stat=>0}, {:month=>3, :stat=>0}, {:month=>4, :stat=>0}, {:month=>5, :stat=>0}, {:month=>6, :stat=>0}, {:month=>7, :stat=>0}]"
"true","Hafrsfjord ","Stavanger","Norway","58.9246","5.6528","This is a Fjord situated in both residential and agricultural land. There are a number of small man made beaches to launch from. If the wind is light be careful as it may not be possible to land on a beach and you may need to ditch your kite in the water. Lots of man made hazards such as moored boats, jetties and houses. Would not go there if you are a kitesurf beginner.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no43","[{:month=>1, :stat=>7}, {:month=>2, :stat=>6}, {:month=>3, :stat=>6}, {:month=>4, :stat=>4}, {:month=>5, :stat=>7}, {:month=>6, :stat=>5}, {:month=>7, :stat=>3}, {:month=>8, :stat=>5}, {:month=>9, :stat=>5}, {:month=>10, :stat=>9}, {:month=>11, :stat=>7}, {:month=>12, :stat=>9}]"
"true","Orrestranda ","Orre","Norway","58.7402","5.5122","Nice and soft sand. Big space to lay out your kite and lines and to launch and land safely. Can be a bit crowed on the warmest days in summer.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no9","[{:month=>1, :stat=>44}, {:month=>2, :stat=>40}, {:month=>3, :stat=>42}, {:month=>4, :stat=>44}, {:month=>5, :stat=>48}, {:month=>6, :stat=>42}, {:month=>7, :stat=>39}, {:month=>8, :stat=>39}, {:month=>9, :stat=>40}, {:month=>10, :stat=>39}, {:month=>11, :stat=>40}, {:month=>12, :stat=>39}]"
"false","Persfjorden ","Persfjord","Norway","","","","",""
"true","Akrasanden ","Akrahamn","Norway","59.2495","5.1943","Medium sized, sandy beach with rocks.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no16","[{:month=>1, :stat=>60}, {:month=>2, :stat=>53}, {:month=>3, :stat=>51}, {:month=>4, :stat=>49}, {:month=>5, :stat=>51}, {:month=>6, :stat=>44}, {:month=>7, :stat=>46}, {:month=>8, :stat=>50}, {:month=>9, :stat=>55}, {:month=>10, :stat=>55}, {:month=>11, :stat=>58}, {:month=>12, :stat=>59}]"
"true","Hamresanden ","Hamre, Hamresand","Norway","58.1907","8.07","Very nice sandy beach with a nice launching spot. Plenty of launching and landing room. Some rocks by the seaside make most bathers prefer the more secluded inner beach. Even during summer. The beach is shallow for very long and then suddenly drops. Watch out for shells. If you spend some time walking upwind, it is recommended that you use shoes all year round to prevent cuts in the foot sole. Two beaches downwind exit points. The first right next to the launching spot, the next in the inner bay by the road. This one has a nice grassy area for landing.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=no13","[{:month=>1, :stat=>28}, {:month=>2, :stat=>27}, {:month=>3, :stat=>31}, {:month=>4, :stat=>30}, {:month=>5, :stat=>33}, {:month=>6, :stat=>29}, {:month=>7, :stat=>28}, {:month=>8, :stat=>24}, {:month=>9, :stat=>25}, {:month=>10, :stat=>24}, {:month=>11, :stat=>29}, {:month=>12, :stat=>28}]"
"true","Cypel ","Rewa","Poland","54.636","18.5148","The beach in Rewa is very nice and it's a real attraction of the region with its national park It's a 1 km long sandy peninsula. The spot is extremely safe with its open space and no trees in surroundings. There is a lot of space to launch and land a kite. The beach is sandy but after storms might occur pebbles.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pl6","[{:month=>1, :stat=>26}, {:month=>2, :stat=>22}, {:month=>3, :stat=>19}, {:month=>4, :stat=>11}, {:month=>5, :stat=>8}, {:month=>6, :stat=>13}, {:month=>7, :stat=>11}, {:month=>8, :stat=>11}, {:month=>9, :stat=>12}, {:month=>10, :stat=>21}, {:month=>11, :stat=>24}, {:month=>12, :stat=>29}]"
