"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Amwaj Island ","Muharraq","Bahrain","26.3","50.6583","Part of a large man made island, the beach is made up of dredged seabed, so it's full of small shells and rocks. If the kite is dragged across the beach, it may get ripped. Plenty of launch space, plus the road comes right up alongside the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=bh1","[{:month=>1, :stat=>42}, {:month=>2, :stat=>48}, {:month=>3, :stat=>45}, {:month=>4, :stat=>40}, {:month=>5, :stat=>44}, {:month=>6, :stat=>63}, {:month=>7, :stat=>47}, {:month=>8, :stat=>29}, {:month=>9, :stat=>38}, {:month=>10, :stat=>28}, {:month=>11, :stat=>42}, {:month=>12, :stat=>47}]"
"true","Budayia Beach ","Budayia Village","Bahrain","26.2078","50.4467","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=bh1","[{:month=>1, :stat=>42}, {:month=>2, :stat=>48}, {:month=>3, :stat=>45}, {:month=>4, :stat=>40}, {:month=>5, :stat=>44}, {:month=>6, :stat=>63}, {:month=>7, :stat=>47}, {:month=>8, :stat=>29}, {:month=>9, :stat=>38}, {:month=>10, :stat=>28}, {:month=>11, :stat=>42}, {:month=>12, :stat=>47}]"
"true","Kish Island ","Kish","Iran","26.5508","54.023","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ae1","[{:month=>1, :stat=>22}, {:month=>2, :stat=>31}, {:month=>3, :stat=>34}, {:month=>4, :stat=>35}, {:month=>5, :stat=>44}, {:month=>6, :stat=>40}, {:month=>7, :stat=>41}, {:month=>8, :stat=>43}, {:month=>9, :stat=>35}, {:month=>10, :stat=>29}, {:month=>11, :stat=>24}, {:month=>12, :stat=>20}]"
"false","Chabahar ","Chabahar","Iran","","","","",""
"true","Kish ","Kish","Iran","26.4985","54.0154","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ae1","[{:month=>1, :stat=>22}, {:month=>2, :stat=>31}, {:month=>3, :stat=>34}, {:month=>4, :stat=>35}, {:month=>5, :stat=>44}, {:month=>6, :stat=>40}, {:month=>7, :stat=>41}, {:month=>8, :stat=>43}, {:month=>9, :stat=>35}, {:month=>10, :stat=>29}, {:month=>11, :stat=>24}, {:month=>12, :stat=>20}]"
"false","Manjil Lake ","Loshan","Iran","","","","",""
"true","Kish ","Kish","Iran","26.5672","53.9862","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ae1","[{:month=>1, :stat=>22}, {:month=>2, :stat=>31}, {:month=>3, :stat=>34}, {:month=>4, :stat=>35}, {:month=>5, :stat=>44}, {:month=>6, :stat=>40}, {:month=>7, :stat=>41}, {:month=>8, :stat=>43}, {:month=>9, :stat=>35}, {:month=>10, :stat=>29}, {:month=>11, :stat=>24}, {:month=>12, :stat=>20}]"
"true","Reef Raf ","Eilat","Israel","29.5101","34.9234","The beach is very small and is the only entry and exit point which makes it absolutely not suited for beginners not yet able to ride upwind (next exit point would be actually in Egypt only!). The super tiny beach gets easily very packed with too many kiters making it a nightmare to launch or land your kite safely.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=il1","[{:month=>1, :stat=>32}, {:month=>2, :stat=>31}, {:month=>3, :stat=>38}, {:month=>4, :stat=>39}, {:month=>5, :stat=>45}, {:month=>6, :stat=>54}, {:month=>7, :stat=>46}, {:month=>8, :stat=>57}, {:month=>9, :stat=>64}, {:month=>10, :stat=>57}, {:month=>11, :stat=>45}, {:month=>12, :stat=>36}]"
"true","Dolfinarium Beach ","Tel Aviv","Israel","32.0688","34.7626","Sandy beach with a big wave breaker at the south end.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=il4","[{:month=>1, :stat=>23}, {:month=>2, :stat=>25}, {:month=>3, :stat=>31}, {:month=>4, :stat=>28}, {:month=>5, :stat=>28}, {:month=>6, :stat=>23}, {:month=>7, :stat=>19}, {:month=>8, :stat=>22}, {:month=>9, :stat=>22}, {:month=>10, :stat=>22}, {:month=>11, :stat=>16}, {:month=>12, :stat=>20}]"
"true","Neve Yam ","Atlit, Zichron Yaakov, Cesarea","Israel","32.6746","34.9299","It's a big beach, one part of is for swimmers but if you walk south you will get to the right spot. It has a huge sand beach so you can land your kite freely.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=il3","[{:month=>1, :stat=>31}, {:month=>2, :stat=>24}, {:month=>3, :stat=>21}, {:month=>4, :stat=>17}, {:month=>5, :stat=>14}, {:month=>6, :stat=>9}, {:month=>7, :stat=>7}, {:month=>8, :stat=>5}, {:month=>9, :stat=>8}, {:month=>10, :stat=>14}, {:month=>11, :stat=>23}, {:month=>12, :stat=>28}]"
