"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"false","Mineral Creek Spit ","Valdez","Alaska (USA)","","","","",""
"false","Mariner Beach ","Homer","Alaska (USA)","","","Big beach, sand and pebbles, with lots of space.","",""
"false","Old Town Valdez ","Valdez","Alaska (USA)","","","Watch for debris on beach and old barge beached adjacent to launch area. Lots of room downwind, and a gravel road to walk back upwind.","",""
"false","Homer Spit ","Fritz Creek","Alaska (USA)","","","Georgeous beach, lots of space.","",""
"false","Mile ","Girdwood","Alaska (USA)","","","On low tide you have lots of hard sand, on high tide the water level comes up to the reeds.","",""
"false","Gustafson Spit ","Fritz Creek","Alaska (USA)","","","Gustafson Spit is the best access point into East Kachemak Bay - coarse sand spit with steep sides coming up from a flat bottom. Ample room for launching, especially with help as it's a collector spot and usually has dried kelp on it.","",""
"false","Unalaska Island ","Unalaska","Alaska (USA)","","","Launch of roads most of the time, walk over the rocky shore to enter the water. No crowds, it is way out there and you will be but a few that have ever kited there. People are great.","",""
"false","Unalaska Island ","Unalaska","Alaska (USA)","","","","",""
"false","Haines ","Haines","Alaska (USA)","","","","",""
"false","Unalaska Island ","Unalaska","Alaska (USA)","","","","",""
"true","Lake Mohave ","Bullhead City, Katherine","Arizona (USA)","35.2203","","Very rocky launch and beach not user or gear friendly. This beach is not kite friendly as it is boulder ridden and very gusty and shifty winds due to mountains just up wind of launch that makes it constantly change wind directions and strength. If kiting rent or bring a boat and find a safe un-shadowed launch as Katherine's is very sketchy and dangerous even for expert kiters and when it blows best it is winter/cold so dress accordingly.Be careful to hide valuables well in car as break-ins are not uncommon as nearby Bullhead City has a heavy meth and drug problems. Important: please be safe as there have been many kiter related Flight For Life emergency medi-vac's on Lake Mohave and one experienced kiter death. 15 to 20+ thousand dollars for the flight alone.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us327","[{:month=>1, :stat=>50}, {:month=>2, :stat=>43}, {:month=>3, :stat=>37}, {:month=>4, :stat=>40}, {:month=>5, :stat=>38}, {:month=>6, :stat=>34}, {:month=>7, :stat=>26}, {:month=>8, :stat=>23}, {:month=>9, :stat=>22}, {:month=>10, :stat=>36}, {:month=>11, :stat=>39}, {:month=>12, :stat=>45}]"
"true","Lake Havasu ","Lake Havasu City","Arizona (USA)","34.4719","","Inside the State Park you have a small rocky beach by boat ramps. At the south end of the park there is a sandy beach with grass, but beware the trees, cabanas and light poles if walking a launched kite to or from the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us327","[{:month=>1, :stat=>50}, {:month=>2, :stat=>43}, {:month=>3, :stat=>37}, {:month=>4, :stat=>40}, {:month=>5, :stat=>38}, {:month=>6, :stat=>34}, {:month=>7, :stat=>26}, {:month=>8, :stat=>23}, {:month=>9, :stat=>22}, {:month=>10, :stat=>36}, {:month=>11, :stat=>39}, {:month=>12, :stat=>45}]"
"true","Lake Pleasant ","Anthem","Arizona (USA)","33.8613","","You really need a kite buddy to launch and land, usually from the end of Desert Tortoise road if lake is low, or from the point 200m west of 10-lane ramp if lake is high. Often need to stake out your launch area with parking cones and tarps or else someone will back over your lines with a jetski trailer.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us338","[{:month=>1, :stat=>5}, {:month=>2, :stat=>3}, {:month=>3, :stat=>3}, {:month=>4, :stat=>6}, {:month=>5, :stat=>4}, {:month=>6, :stat=>2}, {:month=>7, :stat=>1}, {:month=>8, :stat=>2}, {:month=>9, :stat=>2}, {:month=>10, :stat=>3}, {:month=>11, :stat=>4}, {:month=>12, :stat=>3}]"
"true","Mormon Lake ","Flagstaff","Arizona (USA)","34.9457","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us588","[{:month=>1, :stat=>9}, {:month=>2, :stat=>16}, {:month=>3, :stat=>25}, {:month=>4, :stat=>36}, {:month=>5, :stat=>33}, {:month=>6, :stat=>27}, {:month=>7, :stat=>13}, {:month=>8, :stat=>12}, {:month=>9, :stat=>10}, {:month=>10, :stat=>18}, {:month=>11, :stat=>18}, {:month=>12, :stat=>11}]"
