"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"false","Rarotonga ","Muri","Cook Islands","","","Tricky launch, very thin beach, 2-5 m in some places. Nice white sand. Need to stand in water for the safest launch. Coconut palms and buildings right up to waters edge. Not for a beginner.","",""
"false","Honeymoon Island ","Aratunga","Cook Islands","","","White coral sand. Palm trees on the main part of the island. No water supply. No shade on the sandbar, wear block and a hat.","",""
"false","Aitutaki ","Rarotonga Island","Cook Islands","","","Really small beach, sometimes wind comes sideoffshore and launching area is behind the palms.","",""
"false","Aitutaki ","Rarotonga Island","Cook Islands","","","Medium sized beach with white sand.","",""
"false","Manihiki Island ","Tauhunu, Tukou","Cook Islands","","","","",""
"false","Aitutaki ","Rarotonga Island","Cook Islands","","","Launching area on the side, the main beach is wind protected.","",""
"false","Rarotongan ","Muri","Cook Islands","","","","",""
"true","Nananu","Rakiraki, Nananu-i-Ra","Fiji Islands","","178.2182","A lot of reef and the beaches are covered by palm trees, white sand.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=fj2","[{:month=>1, :stat=>23}, {:month=>2, :stat=>10}, {:month=>3, :stat=>14}, {:month=>4, :stat=>33}, {:month=>5, :stat=>31}, {:month=>6, :stat=>41}, {:month=>7, :stat=>50}, {:month=>8, :stat=>54}, {:month=>9, :stat=>51}, {:month=>10, :stat=>50}, {:month=>11, :stat=>42}, {:month=>12, :stat=>26}]"
"true","Turtle Island ","Turtle Island Resort on Nanuya Levu","Fiji Islands","","177.3788","Generally soft white sand with reef outcroppings. Large sandy bay between Turtle Island and Nanuya Island (Seaspray, Sunrise and Nanuya Island Resort) allows launches in all but high tide. Many different sailing spots on windward side of these island as well as sandy points reachable by small boat with sideonshore launch.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=fj1","[{:month=>1, :stat=>18}, {:month=>2, :stat=>17}, {:month=>3, :stat=>16}, {:month=>4, :stat=>9}, {:month=>5, :stat=>8}, {:month=>6, :stat=>10}, {:month=>7, :stat=>12}, {:month=>8, :stat=>13}, {:month=>9, :stat=>18}, {:month=>10, :stat=>16}, {:month=>11, :stat=>17}, {:month=>12, :stat=>17}]"
"true","Beachcomber Island ","Beachcomber Island","Fiji Islands","","177.2389","Crushed white coral sand. Nice up until the waters edge where it can be a bit coarser and hard on your feet. Watch for other people when launching your kite around here, it's a pretty small island so you pretty much take up half the beach when you launch.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=fj1","[{:month=>1, :stat=>18}, {:month=>2, :stat=>17}, {:month=>3, :stat=>16}, {:month=>4, :stat=>9}, {:month=>5, :stat=>8}, {:month=>6, :stat=>10}, {:month=>7, :stat=>12}, {:month=>8, :stat=>13}, {:month=>9, :stat=>18}, {:month=>10, :stat=>16}, {:month=>11, :stat=>17}, {:month=>12, :stat=>17}]"
"true","Viti Levu ","Sigatoka","Fiji Islands","","177.5321","South facing beach on the Coral Coast. Coarse sand and shells on the beach, caution required to avoid damage to the kite. Best entry/launch spot is just East of the Outrigger Resort. Grassy spot for gearing up and launch in front of Wai Taci Motel.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=fj3","[{:month=>1, :stat=>0}, {:month=>2, :stat=>1}, {:month=>3, :stat=>0}, {:month=>4, :stat=>0}, {:month=>5, :stat=>0}, {:month=>6, :stat=>0}, {:month=>7, :stat=>1}, {:month=>8, :stat=>0}, {:month=>9, :stat=>0}, {:month=>10, :stat=>0}, {:month=>11, :stat=>0}, {:month=>12, :stat=>0}]"
