"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Buenos Aires Kitebeach ","Buenos Aires","Argentina","","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar8","[{:month=>1, :stat=>18}, {:month=>2, :stat=>13}, {:month=>3, :stat=>12}, {:month=>4, :stat=>12}, {:month=>5, :stat=>8}, {:month=>6, :stat=>13}, {:month=>7, :stat=>16}, {:month=>8, :stat=>18}, {:month=>9, :stat=>27}, {:month=>10, :stat=>20}, {:month=>11, :stat=>20}, {:month=>12, :stat=>18}]"
"true","Puerto Velas ","La Plata","Argentina","","","This is a club with a sandy beach and has a grassy rigging area.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar2","[{:month=>1, :stat=>30}, {:month=>2, :stat=>22}, {:month=>3, :stat=>19}, {:month=>4, :stat=>16}, {:month=>5, :stat=>15}, {:month=>6, :stat=>16}, {:month=>7, :stat=>21}, {:month=>8, :stat=>25}, {:month=>9, :stat=>35}, {:month=>10, :stat=>32}, {:month=>11, :stat=>28}, {:month=>12, :stat=>28}]"
"false","La Boca ","Balneario El Condor","Argentina","","","Really big beach, big extensions, sea is 1000 ft from the street plus 300 ft in low tide. No rocks or concrete, nice sand. Plenty space for launching and landing.","",""
"true","Playa Horizonte ","Mar del Plata","Argentina","","","The beach is wide with no special regulations. Nice and soft sand. You can drive there with a 4x4. In winter there is nobody there, but in the summer it is full of people, but you can ride anyway, because there is plenty of space for launching.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>41}, {:month=>3, :stat=>36}, {:month=>4, :stat=>32}, {:month=>5, :stat=>24}, {:month=>6, :stat=>31}, {:month=>7, :stat=>30}, {:month=>8, :stat=>34}, {:month=>9, :stat=>43}, {:month=>10, :stat=>42}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"true","Kite Beach ","Mar del Plata","Argentina","","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>41}, {:month=>3, :stat=>36}, {:month=>4, :stat=>32}, {:month=>5, :stat=>24}, {:month=>6, :stat=>31}, {:month=>7, :stat=>30}, {:month=>8, :stat=>34}, {:month=>9, :stat=>43}, {:month=>10, :stat=>42}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"true","Waikiki ","Mar del Plata","Argentina","","","Medium sized, sandy beach. Many people on the beach from December until February.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>41}, {:month=>3, :stat=>36}, {:month=>4, :stat=>32}, {:month=>5, :stat=>24}, {:month=>6, :stat=>31}, {:month=>7, :stat=>30}, {:month=>8, :stat=>34}, {:month=>9, :stat=>43}, {:month=>10, :stat=>42}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"true","Punta Rasa ","San Clemente del Tuyu","Argentina","","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=uy1","[{:month=>1, :stat=>41}, {:month=>2, :stat=>36}, {:month=>3, :stat=>31}, {:month=>4, :stat=>29}, {:month=>5, :stat=>24}, {:month=>6, :stat=>28}, {:month=>7, :stat=>31}, {:month=>8, :stat=>33}, {:month=>9, :stat=>46}, {:month=>10, :stat=>38}, {:month=>11, :stat=>40}, {:month=>12, :stat=>39}]"
"true","Playa Grande ","Mar del Plata","Argentina","","","Medium sized beach, packed during summer.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>41}, {:month=>3, :stat=>36}, {:month=>4, :stat=>32}, {:month=>5, :stat=>24}, {:month=>6, :stat=>31}, {:month=>7, :stat=>30}, {:month=>8, :stat=>34}, {:month=>9, :stat=>43}, {:month=>10, :stat=>42}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"false","El Desierto ","","Argentina","","","Big, sandy beach. Packed with beach goers most of the year.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>41}, {:month=>3, :stat=>36}, {:month=>4, :stat=>32}, {:month=>5, :stat=>24}, {:month=>6, :stat=>31}, {:month=>7, :stat=>30}, {:month=>8, :stat=>34}, {:month=>9, :stat=>43}, {:month=>10, :stat=>42}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"true","Carilo ","Pinamar, Villa Gesell, Carilo","Argentina","","","Very large beach, nice and soft sand. No rocks, no reefs. Full of space to launch and land except during summer (January and February), when the beach will be full of people. You can drive your 4x4 up to the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ar3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>41}, {:month=>3, :stat=>36}, {:month=>4, :stat=>32}, {:month=>5, :stat=>24}, {:month=>6, :stat=>31}, {:month=>7, :stat=>30}, {:month=>8, :stat=>34}, {:month=>9, :stat=>43}, {:month=>10, :stat=>42}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
